,file_name,Model,Dataclass,Results Testset.accuracy_train,Results Testset.accuracy_test,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Config.LEARNING_RATE
27,0002.json,RNN_4_FC_3,NormSentimentNormPriceXPriceY,0.5077521337306197,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.001801399789388106
69,0002.json,RNN_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5048734912378162,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004982434054237923
43,0006.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5089136912277158,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0022044116118257744
52,0012.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5039139437402151,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004894300278454587
51,0009.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5030048987424878,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0032516350571163777
42,0011.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.49962123125094693,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004256822491601647
46,0002.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5040654512398364,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004024988471714365
49,0000.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5079036412302409,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.004515259729722927
53,0007.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5048229887379425,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0023938816187871136
70,0000.json,RNN_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5052775112368062,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0015
67,0000.json,BILSTM_4_FC_3,NormSentimentNormPriceXPriceY,0.5080551487298621,0.47190646313738227,0.4504901960784314,0.6412180052956752,0.0,0.0019363167297763773
20,0001.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.6407757183980607,0.4699577784995128,0.5078431372549019,0.5060532687651331,-0.04982328071705568,0.0011233112441860803
44,0001.json,GRU_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5089136912277158,0.46930821695355635,0.44803921568627453,0.6217592592592592,-0.02558069256929361,0.0027779509479247287
17,0000.json,RNN_1_FC_2,TwitterSentimentVolumePriceXPriceY,0.5500732286248169,0.4689834361805781,0.5303921568627451,0.4873000940733772,-0.055401422754498914,0.0015
25,0005.json,BILSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5174991162062522,0.46768431308866515,0.45,0.6167874678512977,-0.03225427770518034,0.0021014894299789663
1,0011.json,LSTM_4_FC_3,TwitterSentimentVolumePriceXPriceY,0.5917882935205293,0.4637869438129263,0.5269607843137255,0.43361921097770156,-0.0754693865298779,0.0007314129304600539
18,0001.json,LSTM_4_FC_3,NormSentimentNormPriceXPriceY,0.5363870511590324,0.4608639168561221,0.49901960784313726,0.5313382269904009,-0.062420889122967296,0.0005216304485360897
