,file_name,Model,Dataclass,Results Testset.accuracy_test,Results Testset.accuracy_train,Results Testset.accuracy_eval,Results Testset.F1_test,Results Testset.MCC_test,Results Testset.precision_test,Results Testset.recall_test,Config.LEARNING_RATE
27,0018.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4855472556024683,0.5183576587041059,0.48284313725490197,0.5787234042553191,-0.0010330121545299197,0.4716081491114001,0.7487955953200275,0.0021246820086496246
32,0000.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4822994478726859,0.5164385637089036,0.4936274509803922,0.5461275626423691,-0.01749300777717556,0.46576007770762506,0.660013764624914,0.009797115390721612
22,0006.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.5151023059434882,0.5146204737134488,0.5147058823529411,0.5119320039228507,0.03271382533976521,0.487546699875467,0.5388850653819683,0.0006787369984596038
31,0003.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.48587203637544657,0.5138629362153426,0.4588235294117647,0.5727395411605938,-0.0025442933168496593,0.47113676731793963,0.7302133516861665,0.009315138090630134
23,0001.json,Deeper_Two_Layer_GRU,SentimentPriceXPriceY,0.4975641442026632,0.5120953487197616,0.503921568627451,0.6166047087980173,0.0451584351922689,0.4817970565453137,0.856159669649002,0.00019691285421020183
87,0008.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.5125040597596622,0.5104287662239281,0.4838235294117647,0.5939951311874493,0.05713376647415196,0.4893048128342246,0.755677907777013,0.0010468582096452952
93,0009.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.4754790516401429,0.5101762537245593,0.4632352941176471,0.6318668794164577,0.00438081786782465,0.4723926380368098,0.9538885065381968,0.0018410957087304084
85,0006.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.49691458265670674,0.5100752487248119,0.5058823529411764,0.3710921640276086,-0.0271954984721828,0.4524752475247525,0.3145216792842395,0.0025149863860543125
16,0007.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.5280935368626177,0.5098732387253169,0.5495098039215687,0.0,0.0,0.0,0.0,0.004785703442217817
84,0011.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.47190646313738227,0.509469218726327,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.0018260640776880833
44,0003.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.5011367327054238,0.5089641937275895,0.4906862745098039,0.5738068812430632,0.026838276756401148,0.4807066480706648,0.7116311080523056,0.0016226146073300167
11,0004.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5089136912277158,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,8.936741145018195e-05
7,0006.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5089136912277158,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.0026309813165573434
13,0000.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5089136912277158,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,1.4637036478157943e-05
10,0002.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.508863188727842,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,5.434874449693193e-05
8,0001.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5087116812282207,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,4.7367443331312113e-05
69,0000.json,GRU_Shallow_3fc,TwitterSentimentVolumePriceXPriceY,0.5280935368626177,0.508661178728347,0.5495098039215687,0.0,0.0,0.0,0.0,0.008545896918873459
131,0000.json,Deeper_Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5084591687288521,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.004281171988835041
68,0002.json,GRU_Shallow_3fc,TwitterSentimentVolumePriceXPriceY,0.47190646313738227,0.5083076612292309,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.008941080519536113
86,0001.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.49886326729457614,0.5079541437301146,0.4950980392156863,0.41174227983225314,-0.01625929210095501,0.46153846153846156,0.3716448726772196,0.0030962169186084967
9,0008.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.5280935368626177,0.5078531387303672,0.5495098039215687,0.0,0.0,0.0,0.0,0.004692752716385678
128,0001.json,Deeper_Two_Layer_LSTM,SentimentPriceXPriceY,0.5280935368626177,0.5077521337306197,0.5495098039215687,0.0,0.0,0.0,0.0,0.00915336098111422
96,0013.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.517700552127314,0.5075501237311247,0.5176470588235295,0.2972077614765736,0.004029552921043519,0.47575757575757577,0.21610461114934618,0.0050315356369480075
5,0000.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.47190646313738227,0.5073986162315035,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.008433300479938925
14,0005.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.507095601232261,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.0031652182613748133
92,0005.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.5293926599545307,0.5070450987323872,0.5495098039215687,0.00549073438572409,0.03815354525194431,1.0,0.0027529249827942187,0.002628633303555628
46,0005.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.4806755440077947,0.5061360537346599,0.4769607843137255,0.574847115128955,-0.012253718560778202,0.46837088388214904,0.7439779766001376,0.00822478975569675
45,0000.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.5189996752192271,0.5059340437351649,0.5549019607843138,0.17950138504155125,-0.008405394719801155,0.4602272727272727,0.11149346180316587,0.007971449797286615
61,0001.json,GRU_Shallow_2fc,TwitterSentimentVolumePriceXPriceY,0.5280935368626177,0.5057320337356699,0.5495098039215687,0.0,0.0,0.0,0.0,0.009218767941029268
0,0006.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.47190646313738227,0.5056815312357962,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.005363513591638573
17,0001.json,Depth_First_GRU,SentimentPriceXPriceY,0.47190646313738227,0.5054795212363012,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.00541553706262882
19,0000.json,Depth_First_GRU,SentimentPriceXPriceY,0.5280935368626177,0.5053785162365537,0.5495098039215687,0.0,0.0,0.0,0.0,0.006691577161458039
94,0012.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.5280935368626177,0.5050249987374376,0.5490196078431373,0.0,0.0,0.0,0.0,0.0030373983745133593
88,0002.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.5206235790841183,0.5045199737387001,0.5230392156862745,0.359375,0.01805019996074757,0.4864864864864865,0.28492773571920166,0.006955758571348501
42,0002.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.48294900941864244,0.5039644462400888,0.48480392156862745,0.5585135884636716,-0.012788991325302293,0.46771946121690666,0.6930488644184446,0.009589002003869293
91,0000.json,Depth_First_GRU2,NormSentimentAllPriceXPriceY,0.4982137057486197,0.5036109287409727,0.5240196078431373,0.3962485345838218,-0.02024384859643299,0.45840867992766726,0.3489332415691672,0.003842647950880286
40,0006.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.502760636570315,0.503560426241099,0.5171568627450981,0.3970066955494289,-0.011560514707638796,0.46408839779005523,0.34686854783207155,0.004653693788778942
6,0005.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.47190646313738227,0.503560426241099,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.005863328660535237
12,0003.json,Two_Layer_LSTM,SentimentPriceXPriceY,0.47190646313738227,0.5034594212413515,0.4504901960784314,0.6412180052956752,0.0,0.47190646313738227,1.0,0.005788967715721345
3,0004.json,GRU_Deep,TwitterSentimentVolumePriceXPriceY,0.5280935368626177,0.5028028887429927,0.5495098039215687,0.0,0.0,0.0,0.0,0.006359093335113559
41,0001.json,Shallow_First_GRU,NormSentimentAllPriceXPriceY,0.4699577784995128,0.5026513812433715,0.44901960784313727,0.6374944469124834,-0.02545222440715012,0.47064611347982943,0.987611837577426,0.009733361770431888
